qcsorted_mapped_trimmed_mel_SRR1576460.bam
FBgn0031208	976
FBgn0002121	2827
FBgn0031209	42
FBgn0051973	2043
FBgn0067779	1089
FBgn0031213	963
FBgn0031214	85
FBgn0002931	499
FBgn0031216	836
FBgn0031217	405
FBgn0026787	1338
FBgn0005278	5342
FBgn0031228	3215
FBgn0031219	0
FBgn0031220	0
FBgn0025683	0
FBgn0001142	0
FBgn0051976	0
FBgn0051975	0
FBgn0051974	0
FBgn0031224	0
FBgn0259818	0
FBgn0031227	0
FBgn0031229	283
FBgn0053635	75
FBgn0016977	9333
FBgn0031231	397
FBgn0031232	318
FBgn0031233	710
FBgn0086902	8879
FBgn0031235	0
FBgn0022246	66
FBgn0031238	415
FBgn0031239	0
FBgn0031240	0
FBgn0086912	159
FBgn0086856	204
FBgn0086855	608
FBgn0003444	380
FBgn0031244	350
FBgn0031245	1759
FBgn0025686	0
FBgn0031247	2694
FBgn0017457	1065
FBgn0024352	1913
FBgn0020622	926
FBgn0004611	2086
FBgn0031248	0
FBgn0031249	0
FBgn0053127	0
FBgn0264086	0
FBgn0051921	0
FBgn0031250	961
FBgn0000061	17
FBgn0031251	3634
FBgn0003278	108
FBgn0264855	2072
FBgn0263933	681
FBgn0031252	4
FBgn0002593	41882
FBgn0031253	463
FBgn0031254	22
FBgn0031255	18
FBgn0004583	1374
FBgn0015924	2025
FBgn0031256	483
FBgn0031257	181
FBgn0031258	1833
FBgn0027592	201
FBgn0003963	614
FBgn0043364	0
FBgn0010602	1768
FBgn0031260	1779
FBgn0031261	516
FBgn0005660	196
FBgn0260933	174
FBgn0031263	108
FBgn0031264	1151
FBgn0031265	1055
FBgn0021874	132
FBgn0031266	737
FBgn0031267	245
FBgn0031268	334
FBgn0013323	73
FBgn0023489	108
FBgn0010323	54
FBgn0031270	36
FBgn0040106	43
FBgn0040107	309
FBgn0031273	453
FBgn0000497	410
FBgn0011244	6568
FBgn0026438	2102
FBgn0031275	480
FBgn0031276	1331
FBgn0040725	840
FBgn0031277	3307
FBgn0041250	8
FBgn0031279	742
FBgn0000442	52
FBgn0051658	26
FBgn0086130	132
FBgn0031281	121
FBgn0031282	121
FBgn0031283	0
FBgn0031284	91
FBgn0015621	99
FBgn0031285	15001
FBgn0031286	197
FBgn0010583	2297
FBgn0020304	5646
FBgn0031287	220
FBgn0020545	2010
FBgn0031288	148
FBgn0031289	166
FBgn0029095	1544
FBgn0020305	167
FBgn0053526	2264
FBgn0002936	622
FBgn0031292	1919
FBgn0002563	2901
FBgn0046113	312
FBgn0028481	461
FBgn0031294	24363
FBgn0031295	0
FBgn0031296	0
FBgn0003310	1381
FBgn0015905	353
FBgn0031298	957
FBgn0031299	954
FBgn0261938	1073
FBgn0031301	434
FBgn0031302	27
FBgn0016926	7613
FBgn0031304	2658
FBgn0031305	713
FBgn0031306	1872
FBgn0031307	192
FBgn0031308	106
FBgn0031309	218
FBgn0031310	909
FBgn0261458	3363
FBgn0031312	338
FBgn0031313	2424
FBgn0031314	102
FBgn0031315	353
FBgn0024314	1548
FBgn0051922	96
FBgn0031317	394
FBgn0031318	1177
FBgn0031319	1431
FBgn0031320	381
FBgn0031321	71
FBgn0031322	1578
FBgn0031323	1218
FBgn0263080	1231
FBgn0263081	9679
FBgn0040723	4081
FBgn0031324	11
FBgn0259229	448
FBgn0031327	607
FBgn0041097	369
FBgn0011294	53
FBgn0031331	290
FBgn0053923	0
FBgn0053922	1
FBgn0026141	4193
FBgn0031332	648
FBgn0031333	797
FBgn0051924	124
FBgn0031335	1158
FBgn0051659	938
FBgn0053126	2174
FBgn0031337	1165
FBgn0002543	427
FBgn0263320	55
FBgn0263321	387
FBgn0051928	4
FBgn0053128	0
FBgn0051926	0
FBgn0051661	1
FBgn0031343	2889
FBgn0031344	149
FBgn0031345	272
FBgn0001174	7
FBgn0264881	1
FBgn0026398	2
FBgn0026397	13
FBgn0261509	195
FBgn0031347	0
FBgn0051935	275
FBgn0031351	44
FBgn0021906	26713
FBgn0086758	3436
FBgn0011570	1137
FBgn0031356	1547
FBgn0031357	229
FBgn0086698	356
FBgn0031359	3939
FBgn0000579	46329
FBgn0260648	0
FBgn0031360	1894
FBgn0031361	168
FBgn0264494	3215
FBgn0027597	172
FBgn0031364	231
FBgn0041249	24
FBgn0031365	144
FBgn0045497	1
FBgn0045498	1
FBgn0265138	20
FBgn0045500	1
FBgn0045501	0
FBgn0051933	477
FBgn0051664	44
